name	Fellow	PostDoc	Total	No.	Price	2013-JCR Impact Factor	2012Download	2013Download	2014Download	Chun-Houh Chen	Jeng-Min Chiou	Hsien-Kuei Hwang	Michelle Liou	chen-Hsin Chen	Ming-Tien Tsai	Yi-Ching Yao	Hwai-Chung Ho	Chi-Lun Cheng	Su-Yun Huang	Hsin-Cheng Huang	Yi-Hau Chen	Shwu-Rong Grace Shieh	I-Ping Tu	Feng-Shun Chai	Tsung-Hsi Tsai	Hsin-Chou Yang	Shin-Sheng Yuan	Ting-Li Chen	Wei-Chung Liu	Hsuan-Yu Chen	Arthur Chih-Hsin Tsai	Chien-Yu Peng	Ci-Ren jiang	Tso-Jung Yen	Hsin-Wen Chang	Yu-Tseng Chu	Wei-Cheng Hsiao	Chih-Yuan Hsu	Yi-Chiung Hsu	Man-Jen Hsu	Shih-Hao Huang	Hsin-I Lee	Bowen Li	Yi-Ran Lin	Chih-Wen Ou-yang	Chun-Hao Pan	Yuh-Chyuan Tsay	Tai-Chi Wang	Chang-Yi Weng	Andrew S. Woolston	Chi-Chuan Yang	Chiao-Yi Yang
British Journal of Mathematical and Statistical Psychology	2	0	2	20	598.66	1.527	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bulletin of Informatics and Cybernetics	0	0	0	21	202.74	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calcutta Statistical Association Bulletin	2	0	2	22	152.82	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canadian Journal of Statistics	9	7	16	23	425.44	0.699	81	101	90	0	1	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	0
Chance	4	0	4	24	130.41	NA	21	51	16	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Communications in Statistics: Part A - Theory and Methods	7	8	15	25	16173.45	0.289	168	250	332	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1
Communications in Statistics: Part B Simulation and Computation	8	8	16	26	0	0.288	82	173	138	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1
Computational Statistics	11	9	20	27	695.29	0.345	77	178	199	1	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0
Discover	0	0	0	28	39.68	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Educational Measurement - Issues and Practice	0	1	1	29	0	NA	33	41	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Environmental and Ecological Statistics	2	0	2	30	906.63	0.972	47	50	45	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmetrics	8	0	8	31	2169.69	1.486	80	77	78	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESAIM: P& S	1	0	1	32	410.17	0.894	23	40	40	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Financial Analysts Journal 	2	0	2	33	402.43	1.077	NA	NA	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genetic Epidemiology	7	1	8	34	3494.04	2.951	546	376	256	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Genetics Research	5	1	6	35	973.99	2.2	82	86	81	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Brain Mapping	6	0	6	36	1627.25	6.924	236	323	279	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
International Journal of Reliability Quality and Safety Engineering	3	0	3	37	1393.26	NA	169	46	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
International Statistical Review	11	3	14	38	582.32	1.19	60	65	70	1	1	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
Journal of Applied Probability	10	8	18	39	352.74	0.69	71	113	62	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1
Journal of Applied Statistics	10	10	20	40	4536.72	0.453	82	138	182	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	0
Journal of Biopharmaceutical Statistics	4	3	7	41	2487.91	0.716	83	124	137	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
Journal of Chemometrics	3	0	3	42	2579.19	1.803	53	98	86	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Classification	6	3	9	43	643.71	0.571	66	79	49	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Journal of Educational and Behavioral Statistics	3	1	4	44	544.04	1.016	22	87	31	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Journal of Educational Measurement 	0	1	1	45	607.4	0.867	34	55	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Journal of Experimental Psychology: Learning Memory and Cognition	1	0	1	46	1732.98	3.098	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Financial and Quantitative Analysis	2	1	3	47	513.21	1.877	68	60	46	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Journal of Forecasting	3	1	4	48	2213.19	0.946	91	106	95	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Journal of Nonparametric Statistics	9	5	14	49	1973.42	0.532	79	87	110	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0
Journal  of Official  Statistcs	4	0	4	50	120	0.965	NA	NA	NA	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Quality Technology	3	2	5	51	161.99	1.271	NA	NA	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Journal of Statistical Computation and Simulation	6	8	14	52	11767.14	0.713	107	147	194	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	1	1	0	1	0
Journal of Statistical Research	3	0	3	53	101.88	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Statistical Theory & Practice	3	0	3	54	814.02	NA	3	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of the Indian Society of Agricultural Statistics	2	0	2	55	135	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of the Indian Statistical Association	3	0	3	56	101.88	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of the Japan Statistical Society	3	0	3	57	207.84	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of the Operations Research Society of Japan	1	0	1	58	191.53	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of the Royal Statistical Society. Series A: Statistics in Society 	13	10	23	59	827.87	1.573	65	85	66	1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	1
Journal of the Royal Statistical Society. Series B: Statistical Methodology	20	11	31	60	625.9	5.721	526	455	540	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0
