name	Fellow	PostDoc	Total	No.	Price	2013-JCR Impact Factor	2012Download	2013Download	2014Download	Chun-Houh Chen	Jeng-Min Chiou	Hsien-Kuei Hwang	Michelle Liou	chen-Hsin Chen	Ming-Tien Tsai	Yi-Ching Yao	Hwai-Chung Ho	Chi-Lun Cheng	Su-Yun Huang	Hsin-Cheng Huang	Yi-Hau Chen	Shwu-Rong Grace Shieh	I-Ping Tu	Feng-Shun Chai	Tsung-Hsi Tsai	Hsin-Chou Yang	Shin-Sheng Yuan	Ting-Li Chen	Wei-Chung Liu	Hsuan-Yu Chen	Arthur Chih-Hsin Tsai	Chien-Yu Peng	Ci-Ren jiang	Tso-Jung Yen	Hsin-Wen Chang	Yu-Tseng Chu	Wei-Cheng Hsiao	Chih-Yuan Hsu	Yi-Chiung Hsu	Man-Jen Hsu	Shih-Hao Huang	Hsin-I Lee	Bowen Li	Yi-Ran Lin	Chih-Wen Ou-yang	Chun-Hao Pan	Yuh-Chyuan Tsay	Tai-Chi Wang	Chang-Yi Weng	Andrew S. Woolston	Chi-Chuan Yang	Chiao-Yi Yang
Quality Progress	0	1	1	95	213.95	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RAIRO Operations Research	1	0	1	96	422.68	0.333	29	36	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAIRO Theoretical Informatics and Applications	1	0	1	97	486.46	0.179	49	52	27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Random Structures & Algorithms	3	0	3	98	1877.33	0.656	81	80	111	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Review of Educational Research	2	1	3	99	503.29	5	18	56	41	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Sankhya : the Indian Journal of Statistics(ser A+B)	7	1	8	100	276.37	NA	3	32	40	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Scandinavian Actuarial Journal 	3	1	4	101	731.5	1.179	28	24	21	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Scandinavian Journal of Statistics	12	6	18	102	64.18	1.063	118	117	235	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0
Science	15	5	20	103	1509.86	31.477	NA	NA	NA	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1
Scientific American	5	0	5	104	56.03	1.328	NA	NA	NA	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sequential Analysis	4	2	6	105	2067.15	0.768	34	49	31	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Significance	2	0	2	106	0	NA	27	43	99	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sociological Methodology	3	0	3	107	424.84	1.5	33	73	40	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
South African Statistical Journal 	2	0	2	108	106.97	NA	NA	NA	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Statistica	6	4	10	109	95.82	NA	NA	NA	NA	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Statistica Neerlandica	9	0	9	110	771.83	0.481	43	66	67	0	1	1	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Statistical Analysis and Data Mining	6	5	11	111	872.74	NA	51	52	46	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
Statistical Applications in Genetics and Molecular Biology	6	2	8	112	392.67	1.055	57	58	54	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Statistical Inference for Stochastic Processes 	3	2	5	113	656.21	NA	35	40	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Statistical Methods in Medical Research	11	8	19	114	1173.66	2.957	NA	NA	NA	1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	0
Statistical Modelling	5	3	8	115	1017.78	0.792	15	61	32	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
Statistical Papers / Statistische Hefte	5	1	6	116	1024.18	0.82	81	80	60	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Statistical Science	14	4	18	117	264.89	1.69	155	119	106	1	0	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
Statistics and Computing	13	8	21	118	1751.36	1.746	141	183	151	1	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	1	1	1	0	1	0
Statistics & Risk Modeling (Statistics & Decsions)	2	1	3	119	619.01	NA	0	3	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Statistics in Biopharmaceutical Research	5	2	7	120	167.08	0.704	30	50	46	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Statistics in Medicine	13	11	24	121	6631.04	2.037	707	905	796	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	0	1	1	0
Statistics: A Journal of Theoretical and Applied Statistics	5	5	10	122	2739.55	1.594	80	114	84	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0
Stochastic Analysis and Applications	7	3	10	123	2923.96	0.664	72	52	69	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Studia Scientiarum Mathematicarum Hungarica	0	0	0	124	600.25	0.627	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Teaching Statistics	2	1	3	125	153.07	NA	34	67	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
The Annals of Applied Probability 	15	6	21	126	465.59	1.438	101	98	89	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0
The Annals of Applied Statistics	19	7	26	127	465.59	1.689	180	126	70	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	0	0	0
The Annals of Probability 	16	6	22	128	465.59	1.431	158	164	189	0	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0
The Annals of Statistics 	20	11	31	129	465.59	2.442	747	643	566	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1
The IMS Bulletin	6	0	6	130	115.12	NA	NA	NA	NA	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The International Journal of Biostatistics	5	3	8	131	392.67	0.948	26	36	22	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Theoretical Medicine and Bioethics	2	0	2	132	1123.6	0.911	43	36	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Theory of Probability and Its Applications	7	3	10	133	1049.36	0.355	NA	NA	NA	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Theory of Probability and Mathematical Statistics	5	1	6	134	895.53	NA	31	33	15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Transportmetrica A: transport science(Transportmetrica)	2	0	2	135	873.11	2.068	24	38	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stat	3	0	3	136	529.78	NA	3	11	16	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chemometrics and Intelligent Laboratory Systems	1	0	1	137	48362.69	2.381	118	205	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cognition	3	0	3	138	0	3.634	159	1978	181	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cognitive Psychology	2	0	2	139	0	3.571	50	421	43	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Computational Statistics and Data Analysis	15	6	21	140	0	1.151	680	762	1080	1	1	1	0	1	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0
Contemporary Clinical Trials	3	0	3	141	0	1.986	53	54	39	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Clinical Epidemiology	4	2	6	142	0	5.478	131	134	109	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Mathematical Psychology	2	0	2	143	0	1.805	51	66	118	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Memory and Language	1	0	1	144	0	2.647	86	855	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Multivariate Analysis	15	7	22	145	0	0.943	428	529	693	1	1	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1
Journal of Statistical Planning and Inference	12	6	18	146	0	0.598	611	585	750	0	1	1	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0
Mathematical Biosciences	6	1	7	147	0	1.489	116	106	91	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Medical Image Analysis 	2	0	2	148	0	3.681	154	252	135	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microelectronics Reliability	1	1	2	149	0	1.214	316	167	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neuroimage	11	0	11	150	0	6.132	2198	1574	1711	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Omega	3	0	3	151	0	3.19	76	74	68	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Statistical Methodology	6	2	8	152	0	0.708	53	61	91	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Statistics & Probability Letters	14	7	21	153	0	0.531	359	443	522	0	1	1	0	0	1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0
Stochastic Processes and Their Applications	13	2	15	154	0	1.046	131	180	278	0	0	1	0	1	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Theoretical Population Biology	4	0	4	155	0	1.531	68	91	49	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
